Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
12-Jan-2011,1675.1,10-Feb-2010,1083.4,08-Dec-2010,1842.35
13-Jan-2011,1670.05,10-Feb-2010,1083.4,08-Dec-2010,1842.35
14-Jan-2011,1644.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
17-Jan-2011,1651.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
18-Jan-2011,1655.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
19-Jan-2011,1680.2,10-Feb-2010,1083.4,08-Dec-2010,1842.35
20-Jan-2011,1635.5,10-Feb-2010,1083.4,08-Dec-2010,1842.35
21-Jan-2011,1674.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
24-Jan-2011,1647.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
25-Jan-2011,1647.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
27-Jan-2011,1581.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
28-Jan-2011,1547.25,10-Feb-2010,1083.4,08-Dec-2010,1842.35
31-Jan-2011,1591.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
01-Feb-2011,1632.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
02-Feb-2011,1620.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
03-Feb-2011,1609.05,10-Feb-2010,1083.4,08-Dec-2010,1842.35
04-Feb-2011,1607.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
07-Feb-2011,1581.45,10-Feb-2010,1083.4,08-Dec-2010,1842.35
08-Feb-2011,1584.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
09-Feb-2011,1526.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
10-Feb-2011,1509.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
11-Feb-2011,1485.0,11-Feb-2010,1090.6,08-Dec-2010,1842.35
14-Feb-2011,1499.0,15-Feb-2010,1105.55,08-Dec-2010,1842.35
15-Feb-2011,1544.0,15-Feb-2010,1105.55,08-Dec-2010,1842.35
16-Feb-2011,1520.5,17-Feb-2010,1106.05,08-Dec-2010,1842.35
